Censor,Timestamp,Domain Count,Added,Dropped
GFW,2023-11-28,4932,0,0
GFW,2023-11-29,5240,311,3
GFW,2023-11-30,5156,13,97
GFW,2023-12-01,6448,1320,28
GFW,2023-12-02,4903,4,1549
GFW,2023-12-03,4903,3,3
GFW,2023-12-04,5214,314,3
GFW,2023-12-05,5420,352,146
GFW,2023-12-06,4915,10,515
GFW,2023-12-07,4916,4,3
GFW,2023-12-08,4940,26,2
GFW,2023-12-09,4950,12,2
GFW,2023-12-10,4948,1,2
GFW,2023-12-11,4952,8,4
GFW,2023-12-12,4968,19,3
GFW,2023-12-13,5102,152,18
GFW,2023-12-14,5037,16,81
GFW,2023-12-15,4942,9,104
GFW,2023-12-16,4951,19,10
GFW,2023-12-17,4947,5,9
GFW,2023-12-18,4945,8,10
GFW,2023-12-19,4950,30,25
GFW,2023-12-20,4951,25,24
GFW,2023-12-21,4960,22,13
GFW,2023-12-22,4962,11,9
GFW,2023-12-23,4964,6,4
GFW,2023-12-24,4966,7,5
GFW,2023-12-25,4969,6,3
GFW,2023-12-26,4966,10,13
GFW,2023-12-27,4976,30,20
GFW,2023-12-28,4996,30,10
GFW,2023-12-29,4993,14,17
GFW,2023-12-30,4994,8,7
GFW,2023-12-31,4986,3,11
GFW,2024-01-01,4986,6,6
GFW,2024-01-02,4987,5,4
GFW,2024-01-03,4971,4,20
GFW,2024-01-04,4958,8,21
GFW,2024-01-05,0,1,4958
GFW,2024-01-06,0,1,1
GFW,2024-01-07,0,1,1
GFW,2024-01-08,10600,10600,1
GFW,2024-01-09,5013,171,5758
GFW,2024-01-10,5280,271,4
GFW,2024-01-11,5301,24,3
GFW,2024-01-12,5299,3,5
GFW,2024-01-13,5280,4,23
GFW,2024-01-14,5288,9,1
GFW,2024-01-15,5333,48,3
GFW,2024-01-16,5338,34,29
GFW,2024-01-17,5313,4,29
GFW,2024-01-18,5321,8,1
GFW,2024-01-19,5326,27,22
GFW,2024-01-20,5288,2,40
GFW,2024-01-21,5294,11,5
GFW,2024-01-22,5333,42,3
GFW,2024-01-23,5335,3,1
GFW,2024-01-24,5332,10,13
GFW,2024-01-25,5314,4,22
GFW,2024-01-26,5343,38,9
GFW,2024-01-27,5299,22,66
GFW,2024-01-28,6763,1468,4
GFW,2024-01-29,5285,3,1481
GFW,2024-01-30,5271,9,23
GFW,2024-01-31,5267,8,12
GFW,2024-02-01,5252,16,31
GFW,2024-02-02,5248,14,18
GFW,2024-02-03,5262,34,20
GFW,2024-02-04,5307,48,3
GFW,2024-02-05,5404,100,3
GFW,2024-02-06,5391,11,24
GFW,2024-02-07,5354,13,50
GFW,2024-02-08,5379,28,3
GFW,2024-02-09,5365,18,32
GFW,2024-02-10,5365,7,7
GFW,2024-02-11,5376,13,2
GFW,2024-02-12,5376,6,6
GFW,2024-02-13,5390,17,3
GFW,2024-02-14,5408,20,2
GFW,2024-02-15,5416,26,18
GFW,2024-02-16,5314,57,159
GFW,2024-02-17,5327,21,8
GFW,2024-02-18,5357,42,12
GFW,2024-02-19,5410,64,11
GFW,2024-02-20,5373,27,64
GFW,2024-02-21,5340,17,50
GFW,2024-02-22,5367,43,16
GFW,2024-02-23,5370,22,19
GFW,2024-02-24,5319,14,65
GFW,2024-02-25,5336,31,14
GFW,2024-02-26,5350,53,39
GFW,2024-02-27,5518,177,9
GFW,2024-02-28,5519,27,26
GFW,2024-02-29,5496,23,46
GFW,2024-03-01,5487,11,20
GFW,2024-03-02,5475,13,25
GFW,2024-03-03,5472,4,7
GFW,2024-03-04,5489,21,4
Henan Firewall,2023-11-28,32635,0,0
