sni,delta,payload,ttl,ip_flags
cdn77.org,0.002435,01020304050607080900,58,
b-cdn.net,0.002542,01020304050607080900,58,
myshopify.com,0.482001,01020304050607080900,58,
ca.gov,0.002426,01020304050607080900,58,
loc.gov,0.474486,01020304050607080900,58,
hostgator.com.br,0.963306,01020304050607080900,58,
kickstarter.com,0.00277,01020304050607080900,58,
sedo.com,0.232196,01020304050607080900,58,
eporner.com,0.233889,01020304050607080900,58,
jotform.com,0.482642,01020304050607080900,58,
impervadns.net,0.23165,01020304050607080900,58,
curseforge.com,0.465793,01020304050607080900,58,
docomo.ne.jp,0.961134,01020304050607080900,58,
youporn.com,0.002825,01020304050607080900,58,
fanfiction.net,0.002505,01020304050607080900,58,
jut.su,0.00259,01020304050607080900,58,
aternos.org,0.231437,01020304050607080900,58,
xhamster2.com,0.004494,01020304050607080900,58,
redwap-xxx.com,0.233853,01020304050607080900,58,
jable.tv,0.231923,01020304050607080900,58,
almasryalyoum.com,0.002736,01020304050607080900,58,
ficbook.net,0.474295,01020304050607080900,58,
18comic.vip,0.473278,01020304050607080900,58,
okdiario.com,0.47485,01020304050607080900,58,
xhamster1.desi,0.002663,01020304050607080900,58,
trilltrill.jp,0.237732,01020304050607080900,58,
supjav.com,0.231427,01020304050607080900,58,
mamastar.jp,0.004841,01020304050607080900,58,
eroterest.net,0.002457,01020304050607080900,58,
indianhardtube.com,0.474497,01020304050607080900,58,
nosv.org,0.002755,01020304050607080900,58,
yadongkorea.org,0.002577,01020304050607080900,58,
hnext.jp,0.003579,01020304050607080900,58,
tmohentai.com,0.950037,01020304050607080900,58,
takeaway.com,0.00264,01020304050607080900,58,
uchicago.edu,0.235367,01020304050607080900,58,
buydomains.com,0.473547,01020304050607080900,58,
quizizz.com,0.002394,01020304050607080900,58,
escort.club,0.002604,01020304050607080900,58,
thelancet.com,0.236696,01020304050607080900,58,
eu-1-id5-sync.com,0.002332,01020304050607080900,58,
onelink.me,0.002489,01020304050607080900,58,
domainmarket.com,0.002548,01020304050607080900,58,
register.com,0.002437,01020304050607080900,58,
sonicwall.com,0.004083,01020304050607080900,58,
liftoff-creatives.io,0.002479,01020304050607080900,58,
doordash.com,0.002526,01020304050607080900,58,
wa.gov,0.003203,01020304050607080900,58,
capcutapi.com,0.47351,01020304050607080900,58,
asahi.com,0.002534,01020304050607080900,58,
cell.com,0.002924,01020304050607080900,58,
xlivrdr.com,0.002425,01020304050607080900,58,
tinder.com,0.233476,01020304050607080900,58,
jimdofree.com,0.243777,01020304050607080900,58,
orcid.org,0.002687,01020304050607080900,58,
yolasite.com,0.002461,01020304050607080900,58,
greenpeace.org,0.002583,01020304050607080900,58,
formula1.com,0.003773,01020304050607080900,58,
legacy.com,0.002969,01020304050607080900,58,
hanime1.me,0.002555,01020304050607080900,58,
runescape.com,0.002438,01020304050607080900,58,
porno-zona.com,0.002763,01020304050607080900,58,
vlxx.moe,0.002504,01020304050607080900,58,
monash.edu,0.002473,01020304050607080900,58,
sexnhanh.co,0.235417,01020304050607080900,58,
run.app,0.003113,01020304050607080900,58,
web.app,0.002515,01020304050607080900,58,
bajamedicare.com,0.002535,01020304050607080900,58,
fazenda.gov.br,0.00243,01020304050607080900,58,
queue-it.net,0.002623,01020304050607080900,58,
alltrails.com,0.002471,01020304050607080900,58,
sav.com,0.004679,01020304050607080900,58,
findagrave.com,0.003171,01020304050607080900,58,
home.blog,0.0032,01020304050607080900,58,
tasteofhome.com,0.002354,01020304050607080900,58,
viki.com,0.002653,01020304050607080900,58,
peatix.com,0.00253,01020304050607080900,58,
